Date,Description,Original Description,Category,Amount,Status
2026-01-14,"Whitewater Car Wash to","WHITEWATER CAR WASH - TO TOMBALL      TX",Service & Parts,10.00,Posted
2026-01-14,"Pestie Eagle Mountaiut","SP PESTIE                EAGLE MOUNTAIUT",Business Services,-151.55,Posted
2026-01-13,"Amazon","AMAZON MKTPL*4G5YB6TX3   Amzn.com/billWA",Shopping,24.29,Posted
2026-01-13,"Sienergy","SIENERGY, LP             281-778-6250 TX",Utilities,26.26,Posted
2026-01-12,"Pestie Checkout Pestut","SP PESTIE                CHECKOUT.PESTUT",Business Services,151.55,Posted
2026-01-12,"H-E-B","H-E-B #656               HOUSTON      TX",Groceries,69.13,Posted
2026-01-11,"Gringo's Mexican No","GRINGO'S MEXICAN NO.10   CYPRESS      TX",Restaurants,40.77,Posted
2026-01-11,"Panera Bread","PANERA BREAD #606324 P   SAN MARCOS   TX",Fast Food,14.48,Posted
2026-01-10,"H-E-B","H-E-B #656               HOUSTON      TX",Groceries,27.04,Posted
2026-01-10,"Taco Bell","TACO BELL #030160        GIDDINGS     TX",Fast Food,6.05,Posted
2026-01-09,"Walmart","WM SUPERCENTER #5045 TOMBALL  TX  CREDIT",Shopping,-10.26,Posted
2026-01-08,"H-E-B","H-E-B #656               HOUSTON      TX",Groceries,71.09,Posted
2026-01-08,"Amazon","AMAZON MKTPL*RG5VP2VX3   Amzn.com/billWA",Shopping,9.60,Posted
2026-01-07,"SchoolCafé","SchoolCafe               855-7292328  TX",Food & Dining,21.00,Posted
2026-01-07,"Take 5","TAKE 5 #416              TOMBALL      TX",Auto & Transport,95.64,Posted
2026-01-07,"Walmart","WALMART.COM WALMART.COM  AR       CREDIT",Shopping,-3.97,Posted
2026-01-06,"Walmart","WALMART.COM 8009256278   800-966-6546 AR",Shopping,5.21,Posted
2026-01-06,"Walmart","WALMART.COM              800-925-6278 AR",Shopping,46.99,Posted
2026-01-06,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Credit Card Payment,-1938.12,Posted
2026-01-05,"Starbucks","STARBUCKS STORE 59761    VICKSBURG    MS",Coffee Shops,18.81,Posted
2026-01-05,"Amazon","AMAZON MKTPL*0K6W52C83   Amzn.com/billWA",Shopping,8.11,Posted
2026-01-05,"Donut Palace","SQ *DONUT PALACE         CLINTON      MS",Fast Food,6.93,Posted
2026-01-04,"Pix & Pins","TST*PIX & PINS           Jackson      MS",Restaurants,33.15,Posted
2026-01-04,"Kroger","KROGER #594              SPRING HILL  TN",Groceries,3.57,Posted
2026-01-04,"Aladdin Mediterranean","ALADDIN MEDITERRANEAN GRIJACKSON      MS",Restaurants,52.29,Posted
2026-01-04,"North Italia","NORTH ITALIA FRANKLIN    FRANKLIN     TN",Restaurants,64.00,Posted
2026-01-04,"Scooter's Coffee","SCOOTERS COFFEE          ATHENS       AL",Coffee Shops,12.43,Posted
2026-01-04,"Buc-ee's","BUC-EE'S #0057           ATHENS       AL",Gas,37.37,Posted
2026-01-04,"Buc-ee's","BUC-EE'S #0057           ATHENS       AL",Fast Food,27.18,Posted
2026-01-04,"Jeni's Splendid Ice Creams","TST* JENI'S SPLENDID ICE FRANKLIN     TN",Food & Dining,18.00,Posted
2026-01-03,"Expedia","EXPEDIA 73341304722657   EXPEDIA.COM  WA",Travel,155.73,Posted
2026-01-03,"Walmart","WM SUPERCENTER #1510     859-282-8333 KY",Shopping,60.77,Posted
2026-01-03,"Buc-ee's","BUC-EE'S #0056           SMITH'S GROVEKY",Gas,74.55,Posted
2026-01-03,"Buc-ee's","BUC-EE'S #0056           SMITH'S GROVEKY",Fast Food,11.00,Posted
2026-01-03,"Funny Farm Coffee Comlawrenceburg in","SQ *FUNNY FARM COFFEE COMLawrenceburg IN",Coffee Shops,11.90,Posted
2026-01-03,"Ark Encounter","ARK ENCOUNTER            WILLIAMSTOWN KY",Entertainment,92.16,Posted
2026-01-02,"Expedia","EXPEDIA 72069643794787   EXPEDIA.COM  WA",Travel,105.45,Posted
2026-01-02,"Target","TARGET        00012005   FLORENCE     KY",Shopping,3.17,Posted
2026-01-02,"Ark Encounter Online","ARK ENCOUNTER ONLINE     859-727-2222 KY",Entertainment,153.84,Posted
2026-01-02,"Starbucks","STARBUCKS STORE 23875    LENOIR CITY  TN",Coffee Shops,10.68,Posted
2026-01-02,"Buc-ee's","BUC-EE'S #0055           RICHMOND     KY",Fast Food,11.17,Posted
2026-01-02,"The Dogwood Blue","TST*THE DOGWOOD          Blue Ridge   GA",Restaurants,31.56,Posted
2026-01-02,"ExxonMobil","EXXON AVON               MADISONVILLE TN",Gas,6.78,Posted
2026-01-02,"Seasons 52","SEASONS 52 EC 0074535    513-631-5252 OH",Restaurants,89.68,Posted
2026-01-02,"Chick-fil-A","CHICK-FIL-A #02593       FLORENCE     KY",Fast Food,3.50,Posted
2026-01-02,"Dick's Sporting Goods","Dicks Sporting Goods     Florence     KY",Sporting Goods,48.73,Posted
2026-01-02,"Peacock TV","Peacock X3735 Premium    212-6640138  NY",Television,11.90,Posted
2026-01-02,"Ladybird Taco Mounmountain Brooal","TST* LADYBIRD TACO - MOUNMOUNTAIN BROOAL",Fast Food,36.08,Posted
2026-01-02,"Fee","MDS Fee                  855-2703592  AZ",Fees & Charges,3.50,Posted
2026-01-02,"Harris County Mud","FBS HARRIS COUNTY MUD 542855-2703592  TX",Utilities,83.21,Posted
2026-01-01,"Buc-ee's","BUC-EE'S #0052           CALHOUN      GA",Gas,52.79,Posted
2026-01-01,"Buc-ee's","BUC-EE'S #0052           CALHOUN      GA",Fast Food,25.35,Posted
2026-01-01,"Academy Sports + Outdoors","ACADEMY SPORTS #160      TUSCALOOSA   AL",Sporting Goods,104.48,Posted
2026-01-01,"Starbucks","STARBUCKS 67109          MERIDIAN     MS",Coffee Shops,13.19,Posted
